project_id,project_title,project_slug,approved_document_part,approved_document_title,why_it_matters,certainty,source_primary
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,A,Approved Document A: Structure,Structure issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in single-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in single-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in single-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,M,Approved Document M: Access to and use of buildings,Access to and use of buildings issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
single_storey_extension,Single-storey extension building regulations,single-storey-extension-building-regulations,O,Approved Document O: Overheating,Overheating issues may arise in single-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,A,Approved Document A: Structure,Structure issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in two-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in two-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in two-storey extension building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
