path,title,family,priority,primary_source_id,publish_state,gate
/building-regulations/local-authority-building-control-vs-registered-approver/,Local authority building control vs registered approver,guide,medium,govuk_how_to_apply,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/building-regulations/drawings-and-specifications/,Building regulations drawings and specifications,approval_route,medium,govuk_how_to_apply,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/building-regulations/higher-risk-buildings/,Higher-risk buildings and building control approval,guardrail,medium,govuk_bsr_higher_risk_buildings,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/building-regulations/wales/,Building regulations in Wales,jurisdiction,medium,govwales_approved_documents,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/building-regulations/scotland/,Building standards in Scotland,jurisdiction,medium,govscot_domestic_technical_handbook_2026,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,project,medium,govuk_building_regs_approval,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,project,medium,govuk_building_regs_approval,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/porch-building-regulations/,Porch building regulations,project,medium,govuk_building_regs_approval,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/chimney-breast-removal-building-regulations/,Chimney breast removal building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/roof-alteration-building-regulations/,Roof alteration building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/rooflight-building-regulations/,Rooflight building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/heat-pump-building-regulations/,Heat pump building regulations,project,medium,govuk_use_competent_person,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/solar-panel-building-regulations/,Solar panel building regulations,project,medium,govuk_use_competent_person,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/bathroom-building-regulations/,Bathroom building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/kitchen-building-regulations/,Kitchen building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/insulation-building-regulations/,Insulation building regulations,project,medium,govuk_approved_document_l_2026,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/driveway-drainage-building-regulations/,Driveway drainage building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/basement-conversion-building-regulations/,Basement conversion building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/projects/underpinning-building-regulations/,Underpinning building regulations,project,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/approved-documents/approved-document-c-site-preparation-moisture/,Approved Document C: Site preparation and resistance to contaminants and moisture,approved_document,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/approved-documents/approved-document-e-sound/,Approved Document E: Resistance to sound,approved_document,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency/,"Approved Document G: Sanitation, hot water safety and water efficiency",approved_document,medium,govuk_approved_documents_collection,draft_or_noindex_until_complete,source-specific unique body content required before indexable publication
