path,title,family,priority,primary_source_id,publish_state,gate
/,Building regulations checker for UK home projects,homepage,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/,Building regulations for home projects,hub,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/do-i-need-building-regulations-approval/,Do I need building regulations approval?,guide,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/planning-permission-vs-building-regulations/,Planning permission vs building regulations,guide,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/building-control-body/,What is a building control body?,guide,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/full-plans-application/,Full plans building regulations application,approval_route,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/building-notice/,Building notice for building regulations,approval_route,high,planning_portal_building_notice,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/full-plans-vs-building-notice/,Full plans vs building notice,approval_route,high,planning_portal_building_notice,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/regularisation-certificate/,Regularisation certificate for unauthorised building work,approval_route,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/competent-person-schemes/,Competent person schemes,approval_route,high,govuk_use_competent_person,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/completion-certificate/,Building regulations completion certificate,approval_route,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/building-control-inspections/,Building control inspections,approval_route,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/building-regulations/structural-calculations/,Structural calculations and building regulations,approval_route,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/extensions-building-regulations/,Building regulations for extensions,project,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/loft-conversion-building-regulations/,Loft conversion building regulations,project,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/garage-conversion-building-regulations/,Garage conversion building regulations,project,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/outbuilding-building-regulations/,Outbuilding building regulations,project,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/garden-room-building-regulations/,Garden room building regulations,project,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
